time,mse_pose,mse_landmarks
8.62856,0.2956302,0.2673925
8.633069,0.2951283,0.2673925
8.637897,0.2958174,0.2673925
8.642383,0.2945118,0.2673925
8.64687,0.2811059,0.262201
8.652413,0.2839106,0.262201
8.656783,0.2801594,0.262201
8.661256,0.280186,0.262201
8.665998,0.2806805,0.262201
8.670461,0.2795792,0.262201
8.674922,0.2792871,0.262201
8.679502,0.2793408,0.262201
8.684076,0.2790283,0.262201
8.688532,0.2783913,0.262201
8.693111,0.2784495,0.262201
8.697812,0.2784893,0.262201
8.702353,0.277721,0.262201
8.706829,0.2772306,0.262201
8.711262,0.2767992,0.262201
8.715663,0.2911036,0.2651943
8.721289,0.294413,0.2651943
8.72577,0.2906802,0.2651943
8.730261,0.2904094,0.2651943
8.734696,0.2899427,0.2651943
8.739105,0.2895627,0.2651943
8.743579,0.2894467,0.2651943
8.748301,0.28986,0.2651943
8.752758,0.2887654,0.2651943
8.757204,0.2884172,0.2651943
8.761699,0.2882421,0.2651943
8.766377,0.2884539,0.2651943
8.77121,0.2885612,0.2651943
8.775789,0.2874798,0.2651943
8.780266,0.2747647,0.2631405
8.785893,0.2775452,0.2631405
8.790357,0.2738575,0.2631405
8.794877,0.2736205,0.2631405
8.799492,0.2734814,0.2631405
8.804033,0.2728685,0.2631405
8.808698,0.2727991,0.2631405
8.813191,0.2719183,0.2631405
8.817648,0.271413,0.2631405
8.822122,0.2710518,0.2631405
8.826691,0.2709016,0.2631405
8.831177,0.2702603,0.2631405
8.835559,0.2695659,0.2631405
8.839987,0.2692839,0.2631405
8.84445,0.2689634,0.2631405
8.849,0.2765459,0.2610196
8.854471,0.2786153,0.2610196
8.858978,0.2755665,0.2610196
8.863458,0.2751022,0.2610196
8.868093,0.2751192,0.2610196
8.872567,0.2742837,0.2610196
8.876958,0.2736695,0.2610196
8.881485,0.2736314,0.2610196
8.886062,0.2733569,0.2610196
8.890548,0.2727084,0.2610196
8.895191,0.2727101,0.2610196
8.899914,0.2724942,0.2610196
8.904489,0.2716782,0.2610196
8.909733,0.2729897,0.2610196
8.914979,0.2886062,0.2620261
8.920492,0.2887885,0.2620261
8.924994,0.285509,0.2620261
8.929665,0.2854977,0.2620261
8.934407,0.2852034,0.2620261
8.939082,0.284528,0.2620261
8.943666,0.2837973,0.2620261
8.948193,0.2831676,0.2620261
8.952656,0.2825214,0.2620261
8.957103,0.2820047,0.2620261
8.961587,0.2816262,0.2620261
8.96617,0.2814066,0.2620261
8.97139,0.2825716,0.2620261
8.976893,0.2827495,0.2620261
8.981465,0.2804513,0.2633123
8.987097,0.2826725,0.2633123
8.991656,0.2793157,0.2633123
8.996469,0.2794598,0.2633123
9.00106,0.2783658,0.2633123
9.00546,0.2773747,0.2633123
9.010064,0.2774009,0.2633123
9.014812,0.2772467,0.2633123
9.019253,0.2759476,0.2633123
9.023792,0.2756917,0.2633123
9.028392,0.2753313,0.2633123
9.033068,0.2749955,0.2633123
9.037856,0.2747435,0.2633123
9.042411,0.273621,0.2633123
9.046961,0.2737513,0.2603294
9.052335,0.2753522,0.2603294
9.056818,0.2726066,0.2603294
9.061365,0.2723179,0.2603294
9.066083,0.2722801,0.2603294
9.071598,0.273767,0.2603294
9.076166,0.2708872,0.2603294
9.080791,0.2705593,0.2603294
9.085392,0.2700339,0.2603294
9.089927,0.2693982,0.2603294
9.09435,0.2686622,0.2603294
9.099,0.2687513,0.2603294
9.103555,0.2680408,0.2603294
9.10812,0.2675938,0.2603294
9.112814,0.2674199,0.2603294
9.11749,0.2727385,0.2635937
9.122911,0.2738964,0.2635937
9.127475,0.2712138,0.2635937
9.132059,0.2706851,0.2635937
9.136592,0.2699834,0.2635937
9.14109,0.2693288,0.2635937
9.145773,0.2691759,0.2635937
9.150284,0.2681849,0.2635937
9.15489,0.2678219,0.2635937
9.159355,0.2669083,0.2635937
9.163916,0.2665481,0.2635937
9.168573,0.2661753,0.2635937
9.173019,0.2650973,0.2635937
9.177607,0.2648315,0.2635937
9.182167,0.2776596,0.2651455
9.188004,0.2799308,0.2651455
9.192464,0.275961,0.2651455
9.196971,0.2754277,0.2651455
9.201584,0.2750192,0.2651455
9.206222,0.2744094,0.2651455
9.210762,0.2735218,0.2651455
9.215397,0.273074,0.2651455
9.219858,0.272016,0.2651455
9.224366,0.271472,0.2651455
9.230004,0.2733029,0.2651455
9.234557,0.2701012,0.2651455
9.239014,0.2692218,0.2651455
9.243497,0.2686259,0.2651455
9.248075,0.2522697,0.2671939
9.253455,0.2533321,0.2671939
9.258041,0.2509519,0.2671939
9.262675,0.2504304,0.2671939
9.267163,0.2495011,0.2671939
9.271708,0.249005,0.2671939
9.276164,0.2482067,0.2671939
9.280787,0.2479333,0.2671939
9.285293,0.2470644,0.2671939
9.289765,0.2463795,0.2671939
9.294157,0.2456015,0.2671939
9.298706,0.2453088,0.2671939
9.303263,0.2446954,0.2671939
9.307784,0.2439934,0.2671939
9.312403,0.2435594,0.2671939
9.317075,0.2372054,0.2676994
9.322516,0.2381458,0.2676994
9.327067,0.2357796,0.2676994
9.331556,0.2351185,0.2676994
9.335977,0.2344526,0.2676994
9.341161,0.2353755,0.2676994
9.345679,0.2334933,0.2676994
9.35029,0.2331257,0.2676994
9.354807,0.2323928,0.2676994
9.359272,0.2317517,0.2676994
9.363821,0.2313664,0.2676994
9.368361,0.2307984,0.2676994
9.372916,0.2302758,0.2676994
9.377398,0.2295883,0.2676994
9.381856,0.2132064,0.2685679
9.388049,0.215658,0.2685679
9.392678,0.2122728,0.2685679
9.397382,0.2118566,0.2685679
9.401882,0.2109648,0.2685679
9.406356,0.2103928,0.2685679
9.410868,0.2099295,0.2685679
9.415395,0.209423,0.2685679
9.419971,0.2089687,0.2685679
9.424531,0.2084005,0.2685679
9.42924,0.2081032,0.2685679
9.433973,0.2075798,0.2685679
9.43842,0.2065647,0.2685679
9.442903,0.2060902,0.2685679
9.447484,0.2054858,0.2721773
9.452993,0.2064503,0.2721773
9.457557,0.2042421,0.2721773
9.462093,0.2036431,0.2721773
9.466685,0.2031769,0.2721773
9.471198,0.2024928,0.2721773
9.475667,0.2018693,0.2721773
9.480299,0.2015806,0.2721773
9.484857,0.2008956,0.2721773
9.489357,0.2002469,0.2721773
9.493891,0.1997466,0.2721773
9.498463,0.1992464,0.2721773
9.503461,0.1993351,0.2721773
9.509024,0.1995816,0.2721773
9.513772,0.2013284,0.2723868
9.519197,0.2018684,0.2723868
9.523684,0.1998784,0.2723868
9.528377,0.1997194,0.2723868
9.532993,0.1991123,0.2723868
9.53787,0.1990157,0.2723868
9.54236,0.1979308,0.2723868
9.546897,0.197528,0.2723868
9.551572,0.1972512,0.2723868
9.556062,0.1964891,0.2723868
9.560591,0.1960718,0.2723868
9.565276,0.1958141,0.2723868
9.569767,0.195043,0.2723868
9.574319,0.1946522,0.2723868
9.57887,0.1941673,0.2723868
9.583574,0.2103032,0.2778695
9.589168,0.211032,0.2778695
9.593654,0.208659,0.2778695
9.598171,0.208125,0.2778695
9.60279,0.2076879,0.2778695
9.607277,0.2068993,0.2778695
9.611766,0.2063174,0.2778695
9.61632,0.2058291,0.2778695
9.621286,0.2058233,0.2778695
9.625867,0.2046313,0.2778695
9.630419,0.2039929,0.2778695
9.634957,0.2033818,0.2778695
9.639568,0.202888,0.2778695
9.644192,0.2023033,0.2778695
9.648875,0.1955692,0.275041
9.6544,0.1961318,0.275041
9.659094,0.1943163,0.275041
9.663672,0.1935728,0.275041
9.668391,0.1931837,0.275041
9.672863,0.1922667,0.275041
9.677465,0.191874,0.275041
9.6821,0.1913377,0.275041
9.686559,0.1905274,0.275041
9.690903,0.1898206,0.275041
9.695502,0.189594,0.275041
9.700165,0.1890944,0.275041
9.704779,0.1884449,0.275041
9.709392,0.1878599,0.275041
9.713861,0.2117815,0.2807933
9.719254,0.2123429,0.2807933
9.723737,0.210273,0.2807933
9.728355,0.2097541,0.2807933
9.73298,0.2090416,0.2807933
9.737868,0.2086667,0.2807933
9.74226,0.2072543,0.2807933
9.746872,0.2068539,0.2807933
9.751495,0.2061463,0.2807933
9.755991,0.2052604,0.2807933
9.760563,0.2046532,0.2807933
9.765101,0.2038954,0.2807933
9.769594,0.2031285,0.2807933
9.774037,0.2023634,0.2807933
9.778584,0.2017949,0.2807933
9.783182,0.1931062,0.282784
9.788681,0.1933914,0.282784
9.793179,0.1913204,0.282784
9.797776,0.1906845,0.282784
9.802283,0.1898159,0.282784
9.806741,0.1890101,0.282784
9.81126,0.1883351,0.282784
9.815792,0.1875961,0.282784
9.820266,0.1867789,0.282784
9.824692,0.1859822,0.282784
9.829493,0.1856447,0.282784
9.833965,0.1844999,0.282784
9.838495,0.1838142,0.282784
9.843001,0.1830376,0.282784
9.847869,0.1788004,0.2794559
9.853391,0.1787317,0.2794559
9.857906,0.1768258,0.2794559
9.862588,0.1762904,0.2794559
9.867296,0.1755892,0.2794559
9.871754,0.1746031,0.2794559
9.876372,0.1740701,0.2794559
9.880929,0.173289,0.2794559
9.885354,0.1724535,0.2794559
9.889767,0.1717514,0.2794559
9.894403,0.1712784,0.2794559
9.89907,0.1705866,0.2794559
9.903546,0.1696837,0.2794559
9.908027,0.1689922,0.2794559
9.912477,0.1682685,0.2794559
9.917164,0.1707824,0.2853193
9.922627,0.1707714,0.2853193
