t,kalman_gain
264,0.1112248
265,0.07901616
266,0.1104642
267,0.09325884
268,0.08518519
269,0.0646763
270,0.07870504
271,0.08331993
272,0.09129939
273,0.08202154
274,0.1101364
275,0.09641251
276,0.1199616
277,0.09530782
278,0.08935437
279,0.06365246
280,0.07947373
281,0.09543874
282,0.09612212
283,0.07792836
284,0.1188298
285,0.08196411
286,0.1025659
287,0.09089217
288,0.08211704
289,0.06642018
290,0.07872415
291,0.09956057
292,0.09458819
293,0.08206786
294,0.1194978
295,0.08580697
296,0.09992538
297,0.08584515
298,0.07845681
299,0.06666669
300,0.07838359
301,0.08757052
302,0.09642502
303,0.07840295
304,0.1218081
305,0.09547989
306,0.09179226
307,0.08368199
308,0.07811794
309,0.06899989
310,0.07977694
311,0.0877216
312,0.09883563
313,0.07891629
314,0.1226139
315,0.09480168
316,0.0878958
317,0.08116504
318,0.0767505
319,0.07664607
320,0.08320942
321,0.09327418
322,0.104453
323,0.09205218
324,0.1422742
325,0.09926044
326,0.0798039
327,0.07886884
328,0.07145156
329,0.08320092
330,0.08930545
331,0.09977666
332,0.1133726
333,0.09707039
334,0.154538
335,0.1008769
336,0.07770967
337,0.07445201
338,0.0683721
339,0.08023862
340,0.08562673
341,0.1049033
342,0.1094067
343,0.09655761
344,0.1784187
345,0.1010979
346,0.07856882
347,0.07870545
348,0.07339566
349,0.06642663
350,0.07494483
351,0.09138536
352,0.09986099
353,0.09343619
354,0.1731104
355,0.09150637
356,0.0777054
357,0.07843823
358,0.07185749
359,0.0659484
360,0.07418692
361,0.09794613
362,0.09981252
363,0.09373248
364,0.2047059
365,0.0868982
366,0.07402667
367,0.08159474
368,0.07688435
369,0.06603231
370,0.07445029
371,0.09345479
372,0.1006483
373,0.0917086
374,0.2447181
375,0.0816236
376,0.07018639
377,0.07391841
378,0.06728489
379,0.06515761
380,0.07558395
381,0.08587392
382,0.09277724
383,0.09662535
384,0.2149249
385,0.09936997
386,0.07359237
387,0.06193777
388,0.05855549
389,0.07012576
390,0.07660024
391,0.09832304
392,0.09188931
393,0.104544
394,0.2178184
395,0.1038563
396,0.08426325
397,0.066125
398,0.06176766
399,0.06624559
